Line ID,Utility ID,Source Substation ID,Source Substation,Destination Substation ID,Destination Substation,Voltage (kV),Length (km),Capacity (MVA),Status,Line Type,Geodesic Distance (km),Route Factor,Distance Category
1,2,1,Achimota Substation,2,Tema Substation,11,25.2,215.0,Active,Underground,22.51,1.12,Short (<=40 km)
2,2,1,Achimota Substation,3,Mallam Substation,11,11.0,36.4,Active,Overhead,9.98,1.102,Short (<=40 km)
3,3,1,Achimota Substation,5,Kaneshie Substation,11,5.9,277.4,Active,Overhead,4.99,1.182,Short (<=40 km)
4,1,2,Tema Substation,3,Mallam Substation,330,34.4,39.0,Active,Underground,32.23,1.067,Short (<=40 km)
5,3,2,Tema Substation,4,Legon Substation,161,19.5,186.5,Active,Underground,17.56,1.11,Short (<=40 km)
6,2,3,Mallam Substation,4,Legon Substation,161,17.1,220.5,Active,Underground,15.53,1.101,Short (<=40 km)
7,3,3,Mallam Substation,5,Kaneshie Substation,161,7.0,108.5,Active,Overhead,6.22,1.125,Short (<=40 km)
8,3,3,Mallam Substation,6,Aboadze Junction Substation,161,22.4,298.9,Under Maintenance,Overhead,17.28,1.296,Short (<=40 km)
9,1,4,Legon Substation,5,Kaneshie Substation,161,13.4,266.6,Active,Underground,10.39,1.29,Short (<=40 km)
10,2,4,Legon Substation,6,Aboadze Junction Substation,161,8.4,217.0,Active,Overhead,6.64,1.265,Short (<=40 km)
11,1,7,Kumasi Central Substation,10,Mampong Substation,69,53.3,269.1,Active,Overhead,47.58,1.12,Medium (41-100 km)
12,3,7,Kumasi Central Substation,11,Konongo Substation,69,50.4,116.0,Active,Underground,45.75,1.102,Medium (41-100 km)
13,2,8,Ejisu Substation,9,Obuasi Substation,33,76.1,256.9,Active,Underground,59.31,1.283,Medium (41-100 km)
14,2,8,Ejisu Substation,11,Konongo Substation,69,37.8,198.4,Active,Underground,30.46,1.241,Short (<=40 km)
15,1,9,Obuasi Substation,11,Konongo Substation,33,71.0,284.6,Active,Overhead,65.75,1.08,Medium (41-100 km)
16,2,10,Mampong Substation,11,Konongo Substation,69,64.2,61.5,Active,Underground,53.45,1.201,Medium (41-100 km)
17,1,12,Takoradi Substation,13,Aboadze Substation,33,12.3,78.8,Active,Overhead,9.63,1.277,Short (<=40 km)
18,3,12,Takoradi Substation,14,Tarkwa Substation,33,66.2,133.8,Active,Overhead,51.85,1.277,Medium (41-100 km)
19,1,13,Aboadze Substation,14,Tarkwa Substation,33,55.8,247.0,Active,Overhead,42.95,1.299,Medium (41-100 km)
20,2,13,Aboadze Substation,15,Axim Substation,33,66.4,135.3,Active,Overhead,53.32,1.245,Medium (41-100 km)
21,3,14,Tarkwa Substation,15,Axim Substation,69,59.7,264.2,Active,Overhead,55.23,1.081,Medium (41-100 km)
22,2,16,Cape Coast Substation,17,Winneba Substation,69,84.4,249.8,Active,Overhead,74.23,1.137,Medium (41-100 km)
23,1,16,Cape Coast Substation,18,Kasoa Substation,11,118.3,98.0,Under Maintenance,Underground,102.9,1.15,Long (>100 km)
24,3,16,Cape Coast Substation,19,Assin Fosu Substation,11,82.4,294.7,Active,Overhead,71.3,1.156,Medium (41-100 km)
25,2,17,Winneba Substation,18,Kasoa Substation,11,32.3,289.5,Active,Overhead,29.47,1.096,Short (<=40 km)
26,2,18,Kasoa Substation,19,Assin Fosu Substation,11,140.9,295.6,Active,Overhead,121.66,1.158,Long (>100 km)
27,3,20,Koforidua Substation,21,Akosombo Substation,11,48.0,165.6,Active,Overhead,41.42,1.159,Medium (41-100 km)
28,1,20,Koforidua Substation,22,Nkawkaw Substation,11,98.0,277.8,Active,Overhead,76.04,1.289,Medium (41-100 km)
29,2,21,Akosombo Substation,22,Nkawkaw Substation,69,117.8,111.3,Active,Overhead,96.88,1.216,Long (>100 km)
30,3,21,Akosombo Substation,23,Suhum Substation,69,82.7,209.6,Active,Underground,64.3,1.286,Medium (41-100 km)
31,1,22,Nkawkaw Substation,23,Suhum Substation,69,75.9,78.9,Active,Underground,67.16,1.13,Medium (41-100 km)
32,2,24,Ho Substation,25,Kpong Substation,11,79.5,163.1,Active,Overhead,65.05,1.222,Medium (41-100 km)
33,3,24,Ho Substation,27,Sogakope Substation,11,84.4,113.9,Active,Overhead,69.5,1.214,Medium (41-100 km)
34,1,25,Kpong Substation,27,Sogakope Substation,11,59.7,32.9,Active,Overhead,54.97,1.086,Medium (41-100 km)
35,3,26,Hohoe Substation,27,Sogakope Substation,11,152.5,221.1,Active,Underground,127.0,1.201,Long (>100 km)
36,3,28,Sunyani Substation,29,Techiman Substation,33,63.1,269.9,Active,Overhead,51.64,1.222,Medium (41-100 km)
37,3,29,Techiman Substation,30,Berekum Substation,33,87.3,34.1,Active,Overhead,74.05,1.179,Medium (41-100 km)
38,2,31,Tamale Substation,32,Yendi Substation,11,112.6,296.6,Active,Underground,92.66,1.215,Long (>100 km)
39,3,34,Bolgatanga Substation,35,Bawku Substation,161,86.6,64.6,Active,Underground,74.55,1.162,Medium (41-100 km)
